DR Number,Date Reported,Date Occurred,Area Name,Crime Code Description,Location 
130222023,11/12/2013,11/11/2013,Rampart,"RAPE, FORCIBLE","(34.0549, -118.2778)"
130404327,01/09/2013,01/08/2013,Hollenbeck,ROBBERY,"(34.0243, -118.2198)"
101200908,09/23/2010,09/23/2010,77th Street,"RAPE, FORCIBLE","(34.0011, -118.2827)"
101200992,11/04/2010,10/31/2010,77th Street,"RAPE, FORCIBLE","(33.9697, -118.2695)"
100307604,02/24/2010,02/23/2010,Southwest,"RAPE, FORCIBLE","(34.0073, -118.3089)"
101015135,08/16/2010,08/16/2010,West Valley,"RAPE, FORCIBLE","(34.2205, -118.5536)"
111306660,02/13/2011,02/13/2011,Newton,"RAPE, ATTEMPTED","(33.993, -118.2478)"
131522431,12/02/2013,12/02/2013,N Hollywood,"RAPE, FORCIBLE","(34.2085, -118.3878)"
142008231,04/02/2014,04/02/2014,Olympic,"RAPE, FORCIBLE","(34.0417, -118.3145)"
150311517,04/29/2015,04/29/2015,Southwest,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0284, -118.2874)"
151806473,02/23/2015,02/21/2015,Southeast,"RAPE, FORCIBLE","(33.9456, -118.2781)"
161226995,11/04/2016,11/04/2016,77th Street,"RAPE, FORCIBLE","(33.9891, -118.3245)"
161300655,05/14/2016,04/04/2016,Newton,"RAPE, FORCIBLE","(34.0185, -118.2544)"
